iter	Passed	Remaining
905	4065	421
906	4069	417
907	4072	412
908	4076	408
909	4080	403
910	4083	398
911	4087	394
912	4090	389
913	4094	385
914	4098	380
915	4101	376
916	4104	371
917	4109	367
918	4113	362
919	4117	358
920	4121	353
921	4126	349
922	4130	344
923	4133	339
924	4136	335
925	4141	330
926	4144	326
927	4147	321
928	4151	317
929	4156	312
930	4159	308
931	4163	303
932	4166	299
933	4170	294
934	4174	290
935	4177	285
936	4180	281
937	4184	276
938	4188	272
939	4192	267
940	4195	263
941	4198	258
942	4203	254
943	4207	249
944	4210	245
945	4213	240
946	4217	236
947	4221	231
948	4225	227
949	4229	222
950	4233	218
951	4237	213
952	4240	209
953	4244	204
954	4248	200
955	4252	195
956	4255	191
957	4260	186
958	4266	182
959	4270	177
960	4273	173
961	4277	168
962	4281	164
963	4285	160
964	4289	155
965	4293	151
966	4300	146
967	4304	142
968	4307	137
969	4312	133
970	4316	128
971	4320	124
972	4324	119
973	4329	115
974	4332	111
975	4336	106
976	4340	102
977	4345	97
978	4349	93
979	4352	88
980	4356	84
981	4360	79
982	4364	75
983	4367	71
984	4370	66
985	4375	62
986	4378	57
987	4381	53
988	4385	48
989	4388	44
990	4392	39
991	4396	35
992	4399	31
993	4402	26
994	4407	22
995	4411	17
996	4414	13
997	4419	8
998	4423	4
999	4426	0
